og_index,tconst
1038170,10121294
1038217,10121372
1038258,10121442
1038350,10121610
1038432,10121762
1038502,10121894
1038586,10122038
1038589,10122042
1038740,10122300
1038759,10122334
1038791,10122392
1038852,10122496
1038857,10122504
1038870,10122528
1039053,10122846
1039100,10122930
1039159,10123034
1039978,10124442
1040134,10124714
1040603,10125522
1040627,10125562
1040634,10125574
1040636,10125578
1040678,10125662
1040685,10125676
1040742,10125774
1040775,10125830
1040856,10125972
1040861,10125986
1040998,10126230
1041128,10126462
1041189,10126572
1041220,10126628
1041248,10126682
1041565,10127228
1041592,10127274
1041606,10127302
1041744,10127546
1041752,10127562
1041791,10127634
1041824,10127696
1041854,10127746
1041871,10127774
1041880,10127790
1042187,10128354
1042201,10128378
1042322,10128580
1042519,10128920
1042587,10129040
1042609,10129080
1042644,10129140
1042746,10129316
1042805,10129414
1042957,10129678
1043040,10129824
1043065,10129868
1043068,10129872
1043595,10130830
1043662,10130954
1043769,10131150
1043814,10131230
1043981,10131518
1044037,10131612
1044106,10131762
1044150,10131838
1044186,10131904
1044271,10132048
1044489,10132430
1044506,10132462
1044796,10132970
1044849,10133066
1044893,10133144
1044936,10133220
1044970,10133278
1044981,10133296
1044984,10133300
1045014,10133352
1045027,10133378
1045029,10133380
1045163,10133680
1045219,10133780
1045263,10133856
1045568,10134372
1045658,10134522
1045795,10134756
1045979,10135068
1046008,10135120
1046216,10135490
1046476,10135960
1046505,10136010
1046517,10136034
1046698,10136364
1046838,10136606
1046924,10136768
1046991,10136880
1047104,10137106
1047209,10137286
1047247,10137352
1047269,10137390
1047335,10137504
1047599,10137958
1047810,10138312
1048520,10139542
1048658,10139778
1048674,10139804
1048789,10140002
1048800,10140024
1048856,10140138
1048941,10140310
1049058,10140532
1049088,10140592
1049107,10140632
1049268,10140922
1049305,10140992
1049336,10141046
1049685,10141640
1049714,10141690
1049739,10141736
1049839,10141902
1049888,10141990
1049924,10142050
1050544,10143114
1050770,10143498
1051149,10144160
1051173,10144202
1051178,10144210
1051712,10145122
1051769,10145220
1052271,10146070
1052342,10146192
1052345,10146198
1052348,10146204
1052374,10146250
1052648,10146728
1052955,10147250
1052992,10147316
1053016,10147356
1053031,10147382
1053114,10147546
1053174,10147656
1053325,10147936
1053512,10148260
1053685,10148552
1053810,10148772
1054238,10149506
1054387,10149756
1054414,10149800
1054452,10149868
1054510,10149970
1054649,10150206
1054669,10150240
1054744,10150372
1054771,10150420
1055086,10150980
1055129,10151056
1055154,10151104
1055242,10151260
1055248,10151270
1055257,10151286
1055276,10151318
1055370,10151488
1055406,10151560
1055407,10151562
1055442,10151630
1055450,10151644
1055481,10151700
1055513,10151758
1055560,10151838
1055576,10151866
1055634,10151968
1055769,10152200
1055777,10152214
1055803,10152264
1055843,10152332
1055990,10152582
1056037,10152662
1056055,10152694
1056100,10152772
1056527,10153494
1056606,10153626
1056628,10153664
1056666,10153730
1057171,1015458
1057467,10155126
1057587,10155342
1057611,10155386
1057612,10155388
1057782,10155690
1057849,10155812
1057945,10155980
1057963,10156020
1058017,10156112
1058184,10156406
1058196,10156426
1058230,10156482
1058243,10156504
1058303,10156610
1058585,10157082
1058673,10157246
1058791,10157446
1058804,10157470
1058896,10157636
1058960,10157748
1058985,10157796
1059009,10157842
1059055,10157926
1059480,10158654
1059828,10159244
1060240,10159942
1060299,10160046
1060618,10160608
1060660,10160686
1060664,10160694
1060668,10160700
1060680,10160720
1060681,10160722
1060685,10160730
1060692,10160742
1060714,10160782
1060739,10160828
1060748,10160844
1060765,10160874
1060808,10160946
1060968,10161238
1060973,10161248
1060998,10161292
1061030,10161346
1061055,10161390
1061179,10161612
1061208,10161666
1061231,10161718
1061372,10161980
1061464,10162142
1061744,10162628
1061800,10162730
1061982,10163050
1062111,10163274
1062118,10163286
1062119,10163288
1062594,10164108
1062625,10164160
1062652,10164206
1062907,10164640
1062964,10164744
1063210,10165168
1063477,10165624
1063557,10165766
1063618,10165870
1063779,10166150
1064064,10166642
1064122,10166750
1064167,10166836
1064389,10167234
1064590,10167590
1065024,10168338
1065094,10168458
1065097,10168462
1065303,10168852
1065308,10168862
1065310,10168866
1065316,10168876
1065327,10168898
1065649,10169440
1066105,10170208
1066264,10170486
1066465,10170830
1066852,10171506
1066892,10171578
1066954,10171682
1066960,10171692
1067133,10171988
1067253,10172204
1067311,10172308
1067407,10172474
1067413,10172486
1067449,10172550
1067551,10172738
1067714,10173024
1067751,10173086
1067795,10173160
1067887,10173382
1067989,10173578
1068339,10174240
1068415,10174382
1068463,10174464
1068511,10174546
1068770,10174998
1069370,10176048
1069532,10176320
1069536,10176328
1069673,10176564
1069802,10176792
1070115,10177384
1070117,10177388
1070298,10177712
1070404,10177898
1070441,10177960
1070498,10178056
1070580,10178206
1070610,10178258
1070624,10178280
1070950,10178846
1070959,10178860
1070978,10178894
1070985,10178906
1071023,10178972
1071082,10179072
1071128,10179154
1071131,10179160
1072060,10180760
1072548,10181594
1072555,10181606
1072746,10181964
1072748,10181968
1072883,10182228
1073101,10182616
1073217,10182822
1073563,10183410
1073633,10183542
1073669,10183608
1073674,10183616
1073703,10183664
1073709,10183674
1073714,10183682
1073738,10183728
1073766,10183776
1073788,10183814
1073806,10183846
1073816,10183862
1074057,10184298
1074519,10185098
1074688,10185390
1074900,10185752
1075100,10186096
1075317,10186466
1075366,10186550
1075449,10186696
1075578,10186920
1075669,10187078
1075701,10187130
1075709,10187146
1075768,10187248
1075941,10187550
1076003,10187656
1076020,10187686
1076063,10187766
1076072,10187780
1076079,10187792
1076084,10187800
1076097,10187822
1076211,10188020
1076218,10188032
1076241,10188074
1076274,10188130
1076284,10188148
1076289,10188156
1076293,10188162
1076313,10188198
1076334,10188234
1076384,10188328
1076387,10188332
1076453,10188444
1076467,10188470
1076649,10188788
1076845,10189122
1076936,10189300
1076957,10189338
1076991,10189398
1077031,10189466
1077074,10189540
1077105,10189594
1077113,10189608
1077212,10189776
1077376,10190056
1077574,10190386
1077956,10191050
1077982,10191096
1078144,10191370
1078317,10191672
1078332,10191698
1078355,10191736
1078401,10191814
1078430,10191866
1078434,10191872
1078443,10191888
1078447,10191894
1078659,10192260
1078686,10192308
1078694,10192320
1078704,10192338
1078708,10192344
1078714,10192354
1078718,10192362
1078726,10192376
1078853,10192598
1078880,10192646
1078896,10192672
1078898,10192676
1079112,10193064
1079129,10193092
1079344,10193468
1079507,10193752
1079688,10194058
1080066,10194714
1080342,10195180
1080360,10195210
1080405,10195288
1080434,10195336
1080491,10195432
1080502,10195452
1080595,10195614
1080701,10195802
1080718,10195832
1080751,10195890
1080799,10195976
1080880,10196122
1080890,10196140
1080891,10196142
1080900,10196160
1080924,10196202
1080944,10196238
1081084,10196476
1081248,10196778
1081592,10197354
1081716,10197566
1081763,10197650
1081845,10197804
1082107,10198270
1082139,10198328
1082152,10198352
1082163,10198370
1082174,10198390
1082180,10198404
1082185,10198412
1082196,10198432
1082208,10198452
1082277,10198574
1082403,10198788
1082479,10198924
1082496,10198952
1082715,10199336
1082854,10199580
1082857,10199586
1082858,10199588
1082860,10199590
1082885,10199640
1082899,10199664
1082901,10199668
1082903,10199670
1083035,10199902
1083129,10200068
1083624,10200930
1083995,10201596
1084052,10201690
1084337,10202194
1084398,10202304
1084793,10203002
1084848,10203100
1084921,10203238
1084942,10203276
1085059,10203480
1085219,10203768
1085242,10203806
1085264,10203842
1085323,10203940
1085335,10203960
1085348,10203982
1085393,10204060
1085510,10204276
1085524,10204300
1085533,10204316
1085560,10204366
1085575,10204392
1085740,10204676
1085757,10204704
1085762,10204712
1085790,10204760
1085896,10204940
1086608,10206162
1086622,10206188
1086632,10206204
1086746,10206400
1086874,10206614
1087296,10207346
1087398,10207532
1087415,10207562
1087577,10207850
1087630,10207954
1087678,10208042
1087702,10208086
1087764,10208192
1087765,10208194
1087767,10208198
1087935,10208494
1087966,10208548
1088322,10209164
1088338,10209190
1088345,10209204
1088382,10209268
1088392,10209286
1088436,10209364
1088781,10209956
1088785,10209962
1088908,10210182
1088975,10210298
1089183,10210652
1089275,10210810
1090261,10212512
1090494,10212922
1090574,10213066
1090706,10213294
1090797,10213454
1090813,10213480
1091203,10214162
1091212,10214178
1091224,10214198
1091236,10214220
1091409,10214520
1091421,10214540
1091424,10214546
1091440,10214572
1091490,10214666
1091500,10214682
1091509,10214698
1091525,10214724
1091543,10214754
1091585,10214826
1091595,10214842
1091612,10214872
1091619,10214884
1091629,10214900
1091700,10215026
1091920,10215424
1091939,10215456
1092930,10217148
1092977,10217226
1093015,10217296
1093033,10217328
1093103,10217452
1093108,10217460
1093115,10217472
1093119,10217480
1093158,10217550
1093166,10217566
1093196,10217624
1093206,10217640
1093290,10217780
1093378,10217930
